ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/get_resource/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/get_resource/dotnet,Pulumi,csharp,get_resource,A simple .NET program that gets an existing resource from the engine.,dotnet,,,0,0,0,
468010773/tests/integration/get_resource/python/Pulumi.yaml,468010773,468010773/tests/integration/get_resource/python,Pulumi,python,get_resource,A simple Python program that gets an existing resource from the engine.,python,,,0,0,0,
468010773/tests/integration/get_resource/go/Pulumi.yaml,468010773,468010773/tests/integration/get_resource/go,Pulumi,go,get-resource,A simple Go program that gets an existing resource from the engine.,go,,,0,0,0,
468010773/tests/integration/get_resource/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/get_resource/nodejs,Pulumi,typescript,get_resource,A simple program that gets an existing resource from the engine.,nodejs,,,0,0,0,
468010773/tests/integration/steps/step1/Pulumi.yaml,468010773,468010773/tests/integration/steps/step1,Pulumi,typescript,steps,A program that exercises all possible Pulumi resource steps.,nodejs,,,0,0,0,
468010773/tests/integration/ee_perf/Pulumi.yaml,468010773,468010773/tests/integration/ee_perf,Pulumi,typescript,ee-perf,Emits a large number of Pulumi engine events for benchmarking throughput.,nodejs,,,0,0,0,
468010773/tests/integration/explicit_provider/Pulumi.yaml,468010773,468010773/tests/integration/explicit_provider,Pulumi,typescript,first_class_providers,A program that uses an explicit provider.,nodejs,,,0,0,0,
468010773/tests/integration/duplicate_urns/step1/Pulumi.yaml,468010773,468010773/tests/integration/duplicate_urns/step1,Pulumi,typescript,duplicate_urns,A program that tests the engine's ability to handle duplicate URNs,nodejs,,,0,0,0,
468010773/tests/integration/custom_timeouts/python/failure/Pulumi.yaml,468010773,468010773/tests/integration/custom_timeouts/python/failure,Pulumi,python,custom_timeouts,A program that instantiates a resource with a custom timeout,python,,,0,0,0,
468010773/tests/integration/custom_timeouts/python/success/Pulumi.yaml,468010773,468010773/tests/integration/custom_timeouts/python/success,Pulumi,python,custom_timeouts,A program that instantiates a resource with a custom timeout,python,,,0,0,0,
